N,mayor_a_menor,menor_a_mayor,randomizada,kahan,referencia_N_sobre_N_mas_1,error_mayor_a_menor,error_menor_a_mayor,error_randomizada,error_kahan,semilla_barrido_aleatorio
1000,0.9990009990009997,0.9990009990009989,0.9990009990009997,0.999000999000999,0.999000999000999,6.66799948589869e-16,1.1113332476497816e-16,6.66799948589869e-16,0.0,20260913
2000,0.9995002498750635,0.9995002498750625,0.9995002498750637,0.9995002498750625,0.9995002498750625,9.997003225237222e-16,0.0,1.221855949751216e-15,0.0,20260913
3000,0.9996667777407536,0.9996667777407531,0.9996667777407529,0.9996667777407531,0.9996667777407531,5.552965494833492e-16,0.0,2.2211861979333964e-16,0.0,20260913
4000,0.9997500624843794,0.9997500624843788,0.9997500624843806,0.9997500624843789,0.9997500624843789,4.442002321525252e-16,1.110500580381313e-16,1.6657508705719693e-15,0.0,20260913
5000,0.9998000399920015,0.9998000399920015,0.999800039992002,0.9998000399920016,0.9998000399920016,1.1104450692300815e-16,1.1104450692300815e-16,3.3313352076902446e-16,0.0,20260913
6000,0.999833361106482,0.9998333611064822,0.9998333611064834,0.9998333611064822,0.9998333611064822,2.220816123591855e-16,0.0,1.1104080617959274e-15,0.0,20260913
7000,0.9998571632623925,0.999857163262391,0.99985716326239,0.999857163262391,0.999857163262391,1.4434961162887055e-15,0.0,9.993434651229498e-16,0.0,20260913
8000,0.9998750156230477,0.999875015623047,0.9998750156230487,0.9998750156230471,0.9998750156230471,5.551809012516173e-16,1.1103618025032346e-16,1.5545065235045285e-15,0.0,20260913
9000,0.999888901233197,0.9998889012331963,0.9998889012331975,0.9998889012331963,0.9998889012331963,6.662078296434023e-16,0.0,1.2213810210129043e-15,0.0,20260913
10000,0.9999000099990007,0.9999000099990001,0.9999000099990017,0.9999000099990001,0.9999000099990001,6.662004281565715e-16,0.0,1.6655010703914286e-15,0.0,20260913
11000,0.9999090991728018,0.9999090991728025,0.9999090991728028,0.9999090991728025,0.9999090991728025,6.661943723946189e-16,0.0,3.3309718619730946e-16,0.0,20260913
12000,0.9999166736105314,0.9999166736105324,0.9999166736105347,0.9999166736105325,0.9999166736105325,1.1103155432105419e-15,1.1103155432105418e-16,2.2206310864210838e-15,0.0,20260913
13000,0.9999230828397822,0.9999230828397815,0.9999230828397817,0.9999230828397816,0.9999230828397816,5.551542131981407e-16,1.1103084263962816e-16,1.1103084263962816e-16,0.0,20260913
14000,0.9999285765302478,0.9999285765302478,0.9999285765302466,0.9999285765302478,0.9999285765302478,0.0,0.0,1.22133255889675e-15,0.0,20260913
15000,0.9999333377774814,0.9999333377774815,0.9999333377774797,0.9999333377774815,0.9999333377774815,1.1102970394934649e-16,0.0,1.7764752631895438e-15,0.0,20260913
16000,0.9999375039060063,0.9999375039060058,0.9999375039060053,0.9999375039060059,0.9999375039060059,4.441169654256783e-16,1.1102924135641957e-16,5.551462067820978e-16,0.0,20260913
17000,0.999941179930593,0.9999411799305923,0.9999411799305964,0.9999411799305923,0.9999411799305923,6.661729991171395e-16,0.0,4.1080668278890274e-15,0.0,20260913
18000,0.9999444475306937,0.9999444475306927,0.9999444475306934,0.9999444475306927,0.9999444475306928,8.88227762945664e-16,1.11028470368208e-16,6.66170822209248e-16,1.11028470368208e-16,20260913
19000,0.9999473711909913,0.9999473711909899,0.9999473711909903,0.99994737119099,0.99994737119099,1.3323377488991116e-15,1.1102814574159262e-16,3.330844372247779e-16,0.0,20260913
20000,0.9999500024998771,0.999950002499875,0.9999500024998746,0.999950002499875,0.999950002499875,2.1095292179751368e-15,0.0,3.3308356073291635e-16,0.0,20260913
21000,0.999952383219852,0.9999523832198466,0.9999523832198493,0.9999523832198467,0.9999523832198467,5.3293242834635226e-15,1.110275892388234e-16,2.553634552492938e-15,0.0,20260913
22000,0.9999545475205718,0.9999545475205672,0.9999545475205721,0.9999545475205672,0.9999545475205672,4.552121306163186e-15,0.0,4.885203352955614e-15,0.0,20260913
23000,0.99995652362941,0.9999565236294073,0.9999565236294123,0.9999565236294075,0.9999565236294075,2.5536239789403223e-15,1.1102712951914446e-16,4.885193698842356e-15,0.0,20260913
24000,0.9999583350693736,0.999958335069372,0.9999583350693743,0.9999583350693722,0.9999583350693722,1.443350069093204e-15,1.1102692839178493e-16,2.1095116394439133e-15,0.0,20260913
25000,0.9999600015999377,0.9999600015999359,0.9999600015999373,0.999960001599936,0.999960001599936,1.6654011503192124e-15,1.1102674335461416e-16,1.2212941769007556e-15,0.0,20260913
26000,0.9999615399407706,0.9999615399407714,0.9999615399407722,0.9999615399407715,0.9999615399407715,8.882125804085751e-16,1.110265725510719e-16,6.661594353064314e-16,0.0,20260913
27000,0.9999629643346551,0.9999629643346543,0.9999629643346531,0.9999629643346543,0.9999629643346543,8.882113151971512e-16,0.0,1.110264143996439e-15,0.0,20260913
28000,0.9999642869897497,0.9999642869897504,0.9999642869897517,0.9999642869897504,0.9999642869897504,6.6615760526847875e-16,0.0,1.3323152105369575e-15,0.0,20260913
29000,0.9999655184303992,0.9999655184303989,0.9999655184304005,0.9999655184303989,0.9999655184303989,2.2205226163554597e-16,0.0,1.5543658314488218e-15,0.0,20260913
30000,0.999966667777743,0.9999666677777407,0.9999666677777409,0.9999666677777407,0.9999666677777408,2.220520064118621e-15,1.1102600320593107e-16,1.1102600320593107e-16,1.1102600320593107e-16,20260913
31000,0.9999677429760356,0.999967742976033,0.9999677429760366,0.999967742976033,0.9999677429760331,2.553595328023558e-15,1.110258838271112e-16,3.5528282824675586e-15,1.110258838271112e-16,20260913
32000,0.9999687509765343,0.9999687509765319,0.9999687509765337,0.9999687509765319,0.9999687509765319,2.33154121009882e-15,0.0,1.776412350551482e-15,0.0,20260913
33000,0.9999696978879452,0.9999696978879428,0.9999696978879447,0.9999696978879428,0.9999696978879428,2.442564669043653e-15,0.0,1.8874363351700954e-15,0.0,20260913
34000,0.9999705891003235,0.9999705891003206,0.9999705891003215,0.9999705891003206,0.9999705891003206,2.9976903312575255e-15,0.0,9.99230110419175e-16,0.0,20260913
35000,0.9999714293877358,0.9999714293877318,0.9999714293877309,0.9999714293877318,0.9999714293877318,3.9969170830188106e-15,0.0,8.882037962264024e-16,0.0,20260913
36000,0.9999722229938102,0.9999722229938057,0.999972222993808,0.9999722229938057,0.9999722229938057,4.441015456614473e-15,0.0,2.2205077283072365e-15,0.0,20260913
37000,0.9999729737034175,0.9999729737034134,0.9999729737034087,0.9999729737034134,0.9999729737034134,4.1079362134155415e-15,0.0,4.774088031807251e-15,0.0,20260913
38000,0.9999736849030335,0.9999736849030288,0.9999736849030373,0.9999736849030288,0.9999736849030288,4.663059412286274e-15,0.0,8.437917031756114e-15,0.0,20260913
39000,0.9999743596318108,0.9999743596318043,0.9999743596318059,0.9999743596318043,0.9999743596318044,6.4394586529167495e-15,1.1102514918821981e-16,1.5543520886350775e-15,1.1102514918821981e-16,20260913
40000,0.9999750006249907,0.9999750006249843,0.9999750006249899,0.9999750006249843,0.9999750006249843,6.328429447144402e-15,0.0,5.551253901003861e-15,0.0,20260913
41000,0.9999756103509742,0.999975610350967,0.9999756103509664,0.999975610350967,0.999975610350967,7.105600660707286e-15,0.0,6.66150061941308e-16,0.0,20260913
42000,0.9999761910430768,0.9999761910430703,0.9999761910430679,0.9999761910430703,0.9999761910430705,6.328421913488162e-15,1.1102494585066951e-16,2.553573754565399e-15,1.1102494585066951e-16,20260913
43000,0.9999767447268721,0.9999767447268668,0.9999767447268652,0.9999767447268668,0.9999767447268668,5.329194450073268e-15,0.0,1.665373265647896e-15,0.0,20260913
44000,0.999977273243796,0.9999772732437898,0.9999772732437885,0.9999772732437899,0.9999772732437899,6.106365413316439e-15,1.1102482569666254e-16,1.443322734056613e-15,0.0,20260913
45000,0.9999777782715998,0.999977778271594,0.9999777782715955,0.999977778271594,0.999977778271594,5.884312790114008e-15,0.0,1.5543467747470964e-15,0.0,20260913
46000,0.999978261342149,0.9999782613421447,0.9999782613421473,0.9999782613421447,0.9999782613421447,4.218939207651542e-15,0.0,2.553568467789091e-15,0.0,20260913
47000,0.9999787238569458,0.9999787238569392,0.9999787238569424,0.9999787238569392,0.9999787238569392,6.550455213710664e-15,0.0,3.21971527453575e-15,0.0,20260913
48000,0.9999791671006917,0.9999791671006854,0.9999791671006826,0.9999791671006854,0.9999791671006854,6.3284030793475666e-15,0.0,2.775615385678757e-15,0.0,20260913
49000,0.999979592253226,0.9999795922532193,0.9999795922532164,0.9999795922532193,0.9999795922532193,6.661474093427424e-15,0.0,2.8866387738185504e-15,0.0,20260913
50000,0.9999800003999983,0.9999800003999919,0.9999800003999901,0.999980000399992,0.999980000399992,6.3283978057881995e-15,1.110245229085649e-16,1.8874168894456035e-15,0.0,20260913
51000,0.9999803925413298,0.9999803925413226,0.999980392541331,0.9999803925413228,0.9999803925413228,6.994542200335645e-15,1.1102447937040706e-16,8.215811473410123e-15,0.0,20260913
52000,0.999980769600593,0.9999807696005846,0.9999807696005926,0.9999807696005846,0.9999807696005846,8.437857250516328e-15,0.0,7.993759500489153e-15,0.0,20260913
53000,0.9999811324314719,0.9999811324314635,0.9999811324314721,0.9999811324314636,0.9999811324314636,8.32682979172046e-15,1.1102439722293948e-16,8.54887858616634e-15,0.0,20260913
54000,0.9999814818244195,0.9999814818244106,0.9999814818244173,0.9999814818244106,0.9999814818244107,8.770924316055302e-15,1.1102435843107976e-16,6.550437147433707e-15,1.1102435843107976e-16,20260913
55000,0.9999818185123998,0.9999818185123907,0.9999818185123893,0.9999818185123907,0.9999818185123907,9.10399432608632e-15,0.0,1.3322918525979979e-15,0.0,20260913
56000,0.9999821431760234,0.9999821431760146,0.9999821431760162,0.9999821431760147,0.9999821431760147,8.659894230283223e-15,1.1102428500363105e-16,1.4433157050472036e-15,0.0,20260913
57000,0.9999824564481417,0.9999824564481324,0.9999824564481246,0.9999824564481324,0.9999824564481324,9.215012768443263e-15,0.0,7.882721765776766e-15,0.0,20260913
58000,0.9999827589179582,0.9999827589179496,0.9999827589179445,0.9999827589179496,0.9999827589179497,8.437840464650968e-15,1.110242166401443e-16,5.218138182086783e-15,1.110242166401443e-16,20260913
59000,0.9999830511347348,0.9999830511347265,0.9999830511347343,0.9999830511347265,0.9999830511347265,8.326813814734177e-15,0.0,7.771692893751899e-15,0.0,20260913
60000,0.999983333611114,0.9999833336111065,0.9999833336111013,0.9999833336111065,0.9999833336111065,7.549642392727188e-15,0.0,5.218135183208498e-15,0.0,20260913
61000,0.9999836068261241,0.9999836068261175,0.999983606826112,0.9999836068261176,0.9999836068261176,6.439399105015134e-15,1.1102412250026094e-16,5.662230247513308e-15,0.0,20260913
62000,0.9999838712278906,0.9999838712278833,0.9999838712278797,0.9999838712278835,0.9999838712278835,7.10554196126806e-15,1.1102409314481343e-16,3.7748191669236565e-15,0.0,20260913
63000,0.9999841272360844,0.9999841272360755,0.9999841272360842,0.9999841272360757,0.9999841272360757,8.770901112981506e-15,1.110240647212849e-16,8.548852983538938e-15,0.0,20260913
64000,0.9999843752441454,0.9999843752441367,0.9999843752441425,0.9999843752441367,0.9999843752441369,8.548850863321354e-15,1.1102403718599161e-16,5.662225896485573e-15,1.1102403718599161e-16,20260913
65000,0.9999846156213101,0.999984615621298,0.9999846156212973,0.9999846156212981,0.9999846156212981,1.199059313377732e-14,1.1102401049793814e-16,8.881920839835052e-16,0.0,20260913
66000,0.9999848487144251,0.9999848487144134,0.9999848487144212,0.9999848487144134,0.9999848487144134,1.1657518384954425e-14,0.0,7.77167892330295e-15,0.0,20260913
67000,0.9999850748496437,0.9999850748496291,0.9999850748496304,0.9999850748496291,0.9999850748496291,1.465516265555841e-14,0.0,1.3322875141416738e-15,0.0,20260913
68000,0.9999852943339215,0.9999852943339068,0.9999852943339058,0.9999852943339068,0.9999852943339068,1.4655159438933316e-14,0.0,9.99215416290908e-16,0.0,20260913
69000,0.9999855074564262,0.9999855074564137,0.9999855074564272,0.9999855074564137,0.9999855074564137,1.2545701997397288e-14,0.0,1.3544917200729814e-14,0.0,20260913
70000,0.9999857144898063,0.999985714489793,0.9999857144897878,0.999985714489793,0.999985714489793,1.3322866619448957e-14,0.0,5.218122759284175e-15,0.0,20260913
71000,0.9999859156913433,0.9999859156913282,0.999985915691342,0.9999859156913283,0.9999859156913283,1.498822193118373e-14,1.1102386615691653e-16,1.3655935537300733e-14,0.0,20260913
72000,0.9999861113040253,0.9999861113040096,0.9999861113040189,0.9999861113040096,0.9999861113040097,1.5543338221451423e-14,1.1102384443893873e-16,9.214979088431916e-15,1.1102384443893873e-16,20260913
73000,0.9999863015575312,0.9999863015575129,0.9999863015575204,0.9999863015575129,0.9999863015575129,1.8318930847135718e-14,0.0,7.549619985486235e-15,0.0,20260913
74000,0.9999864866691159,0.9999864866690991,0.9999864866690975,0.9999864866690991,0.9999864866690991,1.6875618020112842e-14,0.0,1.554333238694604e-15,0.0,20260913
75000,0.999986666844458,0.999986666844442,0.9999866668444529,0.999986666844442,0.999986666844442,1.5987424717422984e-14,0.0,1.0880330710468418e-14,0.0,20260913
76000,0.9999868422784065,0.9999868422783911,0.9999868422783991,0.9999868422783911,0.9999868422783911,1.54323030962376e-14,0.0,7.993710956324513e-15,0.0,20260913
77000,0.9999870131556885,0.9999870131556733,0.9999870131556882,0.9999870131556733,0.9999870131556733,1.5210252970552142e-14,0.0,1.4877181737620346e-14,0.0,20260913
78000,0.9999871796515585,0.9999871796515429,0.9999871796515589,0.9999871796515429,0.9999871796515429,1.5543321615551482e-14,0.0,1.5987416518852953e-14,0.0,20260913
79000,0.999987341932395,0.9999873419323806,0.9999873419323901,0.9999873419323806,0.9999873419323806,1.4433082015055138e-14,0.0,9.548038871498014e-15,0.0,20260913
80000,0.9999875001562621,0.999987500156248,0.9999875001562634,0.999987500156248,0.999987500156248,1.4100008660644647e-14,0.0,1.5321269253298907e-14,0.0,20260913
81000,0.9999876544734159,0.9999876544734015,0.9999876544734003,0.9999876544734015,0.9999876544734015,1.4322053830961035e-14,0.0,1.2212604041904758e-15,0.0,20260913
82000,0.9999878050267818,0.9999878050267679,0.9999878050267724,0.999987805026768,0.999987805026768,1.3766933392736152e-14,1.1102365639303348e-16,4.4409462557213395e-15,0.0,20260913
83000,0.9999879519523993,0.9999879519523861,0.9999879519523965,0.9999879519523861,0.9999879519523861,1.3211813169593497e-14,0.0,1.0436222167578056e-14,0.0,20260913
84000,0.9999880953798296,0.9999880953798168,0.9999880953798117,0.9999880953798169,0.9999880953798169,1.2656693153851555e-14,1.1102362415659258e-16,5.218110335359851e-15,0.0,20260913
85000,0.9999882354325383,0.9999882354325242,0.9999882354325285,0.9999882354325244,0.9999882354325244,1.3988974684513563e-14,1.110236086072505e-16,4.107873518468268e-15,0.0,20260913
86000,0.9999883722282442,0.9999883722282299,0.9999883722282387,0.9999883722282299,0.9999883722282299,1.4322043551118212e-14,0.0,8.770863880142161e-15,0.0,20260913
87000,0.9999885058792584,0.9999885058792427,0.9999885058792354,0.9999885058792427,0.9999885058792428,1.5543301001330866e-14,1.1102357858093476e-16,7.438579764922629e-15,1.1102357858093476e-16,20260913
88000,0.9999886364927856,0.999988636492767,0.9999886364927605,0.9999886364927671,0.9999886364927671,1.842991163721179e-14,1.110235640795891e-16,6.6614138447753454e-15,0.0,20260913
89000,0.9999887641712064,0.9999887641711891,0.9999887641711896,0.9999887641711891,0.9999887641711891,1.731967378504215e-14,0.0,5.551177495205818e-16,0.0,20260913
90000,0.9999888890123607,0.9999888890123443,0.9999888890123482,0.9999888890123443,0.9999888890123443,1.643148333446081e-14,0.0,3.885823761527895e-15,0.0,20260913
91000,0.9999890111097844,0.999989011109768,0.9999890111097853,0.999989011109768,0.999989011109768,1.6431481328196982e-14,0.0,1.731966950809952e-14,0.0,20260913
92000,0.9999891305529452,0.9999891305529287,0.9999891305529313,0.9999891305529287,0.9999891305529288,1.6431479365547583e-14,1.1102350922667286e-16,2.4425172029868027e-15,1.1102350922667286e-16,20260913
93000,0.9999892474274623,0.999989247427447,0.9999892474274484,0.999989247427447,0.999989247427447,1.5321242482598557e-14,0.0,1.4433054512592843e-15,0.0,20260913
94000,0.9999893618153156,0.9999893618152997,0.9999893618153034,0.9999893618152998,0.9999893618152998,1.576533466421924e-14,1.1102348355083973e-16,3.552751473626871e-15,0.0,20260913
95000,0.9999894737950283,0.9999894737950127,0.9999894737950261,0.9999894737950127,0.9999894737950127,1.5654309427684678e-14,0.0,1.3433840005318057e-14,0.0,20260913
96000,0.9999895834418535,0.9999895834418391,0.9999895834418614,0.9999895834418391,0.9999895834418392,1.4322026203883452e-14,1.1102345894483296e-16,2.2204691788966594e-14,1.1102345894483296e-16,20260913
97000,0.999989690827943,0.9999896908279295,0.9999896908279443,0.9999896908279295,0.9999896908279297,1.3322813642680182e-14,1.1102344702233486e-16,1.46550950069482e-14,1.1102344702233486e-16,20260913
