N,b_directa,b_telescopica,b_referencia,error_b_directa,error_b_telescopica,c_racionalizada,c_sustractiva,diferencia_c
1010,0.9990108803165191,0.999010880316519,0.9990108803165183,7.77925578739825e-16,6.667933532055643e-16,3.6386929008878752,3.6386929008880537,1.7852386235972517e-13
1020,0.99902056807052,0.9990205680705199,0.9990205680705191,8.89049182856694e-16,7.779180349996072e-16,3.643616621999402,3.643616621999535,1.3322676295501878e-13
1030,0.9990300678952482,0.9990300678952481,0.9990300678952473,8.890407288454652e-16,7.779106377397821e-16,3.6484923294942337,3.648492329494183,5.062616992290714e-14
1040,0.9990393852065331,0.999039385206533,0.9990393852065321,1.0001614920877973e-15,8.890324374113753e-16,3.6533209507446918,3.6533209507444093,2.824407374646398e-13
1050,0.9990485252140827,0.9990485252140826,0.9990485252140818,8.890243039093635e-16,7.77896265920693e-16,3.6581033865119092,3.65810338651172,1.8918200339612667e-13
1060,0.9990574929311979,0.9990574929311978,0.9990574929311969,1.0001433643533604e-15,8.890163238696537e-16,3.6628405119543475,3.662840511954209,1.3855583347321954e-13
1070,0.9990662931839415,0.9990662931839414,0.9990662931839402,1.2223866778606514e-15,1.1112606162369557e-15,3.6675331775889815,3.6675331775890294,4.796163466380676e-14
1080,0.9990749306197976,0.9990749306197975,0.9990749306197965,1.1112510089072169e-15,1.0001259080164951e-15,3.672182210207795,3.6721822102082564,4.614086890342151e-13
1090,0.9990834097158581,0.999083409715858,0.999083409715857,1.1112415778587576e-15,1.000117420072882e-15,3.676788413752068,3.6767884137529103,8.424372310855688e-13
1100,0.9990917347865589,0.9990917347865588,0.9990917347865577,1.2223555501122973e-15,1.1112323182839068e-15,3.681352570146747,3.6813525701474186,6.714628852932947e-13
1110,0.9990999099910002,0.9990999099910001,0.9990999099909991,1.1112232255482423e-15,1.0001009029934182e-15,3.685875440097086,3.685875440097697,6.110667527536862e-13
1120,0.9991079393398763,0.9991079393398762,0.9991079393398751,1.2223357247011434e-15,1.1112142951828575e-15,3.690357763849573,3.690357763850124,5.511147094239277e-13
1130,0.9991158267020346,0.9991158267020345,0.9991158267020336,1.0000849705893335e-15,8.889644183016297e-16,3.694800261919055,3.69480026191959,5.346834086594754e-13
1140,0.9991235758106933,0.9991235758106932,0.9991235758106923,1.0000772140241871e-15,8.889575235770553e-16,3.6992036357838405,3.6992036357845786,7.380762667708041e-13
1150,0.9991311902693318,0.9991311902693317,0.9991311902693311,7.778319051656423e-16,6.667130615705505e-16,3.7035685685504616,3.703568568551554,1.092459456231154e-12
1160,0.9991386735572789,0.9991386735572788,0.9991386735572783,6.667080680636931e-16,5.555900567197443e-16,3.707895725589671,3.7078957255906966,1.0254019855437946e-12
1170,0.9991460290350136,0.9991460290350135,0.9991460290350128,7.778203532352486e-16,6.667031599159273e-16,3.712185755145152,3.712185755146174,1.021849271864994e-12
1180,0.9991532599491965,0.9991532599491963,0.9991532599491956,8.889311132761423e-16,7.778147241166245e-16,3.7164392889163382,3.716439288917308,9.698908343125368e-13
1190,0.9991603694374483,0.9991603694374482,0.9991603694374476,7.778091896050361e-16,6.66693591090031e-16,3.720656942616646,3.7206569426174605,8.144596108650148e-13
1200,0.99916736053289,0.9991673605328899,0.9991673605328892,7.778037473353076e-16,6.666889262874065e-16,3.724839316508369,3.724839316509496,1.127098414599459e-12
1210,0.9991742361684565,0.9991742361684564,0.9991742361684558,6.666843385889576e-16,5.555702821574647e-16,3.7289869959153745,3.7289869959164657,1.0911271886016038e-12
1220,0.999180999181,0.9991809991809999,0.9991809991809992,7.7779313044846e-16,6.666798260986801e-16,3.7331005517147178,3.733100551715915,1.1972645097557688e-12
1230,0.9991876523151916,0.9991876523151915,0.9991876523151909,6.666753869822281e-16,5.555628224851901e-16,3.7371805408081933,3.7371805408094128,1.219468970248272e-12
1240,0.9991941982272369,0.9991941982272368,0.9991941982272361,7.777828560418335e-16,6.666710194644287e-16,3.741227506574806,3.7412275065763874,1.581401676276073e-12
1250,0.9992006394884099,0.9992006394884098,0.9992006394884093,5.555556015224283e-16,4.444444812179426e-16,3.745241979305072,3.7452419793065923,1.5201173653167643e-12
