tipo_b,b,asociacion,a_1000,primera_desviacion_de_N,ultimo_N_finito
int,2,(1+b^k)-b^k,1000.0,,1000
int,2,1+(b^k-b^k),1000.0,,1000
int,2,(1-b^k)+b^k,1000.0,,1000
int,3,(1+b^k)-b^k,1000.0,,1000
int,3,1+(b^k-b^k),1000.0,,1000
int,3,(1-b^k)+b^k,1000.0,,1000
int,5,(1+b^k)-b^k,1000.0,,1000
int,5,1+(b^k-b^k),1000.0,,1000
int,5,(1-b^k)+b^k,1000.0,,1000
int,10,(1+b^k)-b^k,1000.0,,1000
int,10,1+(b^k-b^k),1000.0,,1000
int,10,(1-b^k)+b^k,1000.0,,1000
float,2.0,(1+b^k)-b^k,52.0,53,1000
float,2.0,1+(b^k-b^k),1000.0,,1000
float,2.0,(1-b^k)+b^k,53.0,54,1000
float,3.0,(1+b^k)-b^k,nan,34,646
float,3.0,1+(b^k-b^k),nan,647,646
float,3.0,(1-b^k)+b^k,nan,34,646
float,5.0,(1+b^k)-b^k,nan,23,441
float,5.0,1+(b^k-b^k),nan,442,441
float,5.0,(1-b^k)+b^k,nan,23,441
float,10.0,(1+b^k)-b^k,nan,16,308
float,10.0,1+(b^k-b^k),nan,309,308
float,10.0,(1-b^k)+b^k,nan,16,308
